id,username,password,role,riwayatPenyakit,suhuTubuh,tekananDarahSistolik,tekananDarahDiastolik,detakJantung,saturasiOksigen,kadarGulaDarah,beratBadan,tinggiBadan,kadarKolesterol,kadarKolesterolLDL,trombosit
1,stewart,pass11,pasien,Anemia,36.10,92,92,92,36.10,92,36.10,92,92,92,92
2,gro,pass22,pasien,COVID-19,36.60,126,126,126,36.60,126,36.60,126,126,126,126
3,kebin,pass33,pasien,Diabetes Mellitus,36.40,96,96,96,36.40,96,36.40,96,96,96,96
4,pop,pass44,pasien,COVID-19,36.90,110,110,110,36.90,110,36.90,110,110,110,110
5,neronimo,pass55,dokter,,,,,,,,,,,,
6,ciciko,pass66,dokter,,,,,,,,,,,,
7,zeru,pass77,manager,,,,,,,,,,,,
8,minonette,pass88,pasien,Diabetes Mellitus,36.70,93,93,93,36.70,93,36.70,93,93,93,93
9,tobo,pass99,pasien,COVID-19,36.80,114,114,114,36.80,114,36.80,114,114,114,114
10,ropik,pass110,pasien,Anemia,36.20,103,103,103,36.20,103,36.20,103,103,103,103
11,user11,pass66,dokter,,,,,,,,,,,,
12,user12,pass66,dokter,,,,,,,,,,,,
13,user13,pass66,dokter,,,,,,,,,,,,
14,user14,pass66,pasien,COVID-19,36.90,110,110,110,36.90,110,36.90,110,110,110,110
15,user15,pass66,dokter,,,,,,,,,,,,
